kanjiName,longKanaName,shortKanaName,longRomajiName,shortRomajiName,japaneseDescription,GP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts
玉川 当,たまがわ あたる,たまがわ,Tamagawa Ataru,Tamagawa,[中学生/ちゅうがくせい]になっても[近所/きんじょ]の[子/こ]どもとビーダマで[勝負/しょうぶ]をしているとか。,210,210,69,69,69,69,69,69,69
僧野 景市,そうの けいいち,そうの,Souno Keiichi,Souno,[盆/ぼん]おどりが[好/す]きで　[夏/なつ]が[近/ちか]づくと[１人/ひとり]でひそかに[練習/れんしゅう]している。,210,210,69,69,69,69,69,69,69
亜鉛 栄,あえん さかえ,あえん,Aen Sakae,Aen,[中学生/ちゅうがくせい]なのに　いつもいろんなサプリメントを[飲/の]んでいる。,210,210,69,69,69,69,69,69,69
明井 評吾,あかい ひょうご,あかい,Akai Hyougo,Akai,いつも[辛口/からくち]な[意見/いけん]をいうが[内容/ないよう]は[正/ただ]しいので　[反論/はんろん]できない。,285,300,79,74,69,79,69,94,99
有里 労人,ありさと もりひと,アリ,Arisato Morihito,Ari,アルバイトしたお[金/かね]を　まったく[使/つか]わないで　コツコツためている。,210,210,69,69,69,69,69,69,69
湧口 鉄馬,ゆぐち てつま,ゆぐち,Yuguchi Tetsuma,Yuguchi,[鉄道/てつどう]の[中/なか]でも　[地下/ちか][鉄/てつ]にしかきょうみがないという[変/か]わり[者/もの]。,255,255,84,84,84,84,84,84,84
鳴門 潮,なると うしお,なると,Naruto Ushio,Naruto,[相手/あいて]の[周/まわ]りをすばやく[回/まわ]ってかく[乱/らん]するのが[得意/とくい]。,240,240,79,74,79,69,99,79,74
六甲 嵐,ろっこう あらし,ろっこう,Rokkou Arashi,Rokkou,[冬/ふゆ]の[寒/さむ]い[風/かぜ]の[中/なか]でもさっそうとプレイしている。,240,240,79,74,79,69,99,79,74
遠山 金太,とおやま きんた,とおやま,Tooyama Kinta,Tooyama,サクラもようのシャツをいつも[着/き]ていて[何/なに]かというと[上着/うわぎ]をぬぎたがる。,285,300,79,74,69,79,69,94,99
空原 誘,そらはら さそう,そらはら,Sorahara Sasou,Sorahara,[飛行機/ひこうき]をながめているのが[大好/だいす]きで[空港/くうこう]に[入/い]りびたっている。,255,255,84,84,84,84,84,84,84
鈴鹿 走,すずか はしる,すずか,Suzuka Hashiru,Suzuka,カートレースをやっていて　[将来/しょうらい]はＦ１ドライバーになるのが[夢/ゆめ]。,240,240,79,74,79,69,99,79,74
金井 満,かない みつる,かない,Kanai Mitsuru,Kanai,[校則/こうそく]で[禁止/きんし]されているので[週末/しゅうまつ]だけこっそり[髪/かみ]を[染/そ]めている。,240,240,79,89,99,94,79,79,74
金沢 努,かねざわ つとむ,かねざわ,Kanezawa Tsutomu,Kanezawa,いつも[六法全書/ろっぽうぜんしょ]を[持/も]ち[歩/ある]いていて　あらゆる[法律/ほうりつ]にくわしい。,255,255,84,84,84,84,84,84,84
天戸 建,あまと たてる,テント,Amato Tateru,Tento,テント[生活/せいかつ]が[大好/だいす]きで　わざわざ[庭/にわ]にテントを[建/た]てて[暮/く]らしている。,285,300,79,74,69,79,69,94,99
真田 幸夫,さなだ ゆきお,さなだ,Sanada Yukio,Sanada,[負/ま]けそうな[人/ひと]に[味方/みかた]して　いろんな[作戦/さくせん]をいっしょに[考/かんが]えてあげる。,255,255,84,84,84,84,84,84,84
水渡 長流,みずわたり ながる,みずわたり,Mizuwatari Nagaru,Mizuwatari,ふしぎな[泳/およ]ぎ[方/かた]をマスターしていて[水/みず]の[上/うえ]を[歩/ある]いているように[泳/およ]げる。,240,240,79,74,79,69,99,79,74
高胡 菜生,こうこ なお,こうこ,Kouko Nao,Kouko,[日焼/ひや]けすると　きゅうりパックで[肌/はだ]のほてりをとっているぞ。,240,240,79,89,99,94,79,79,74
白金 希,しろがね まれ,はっきん,Shirogane Mare,Hakkin,[自分/じぶん]は１[万人/まんにん]に[１人/ひとり]の[貴重/きちょう]な[人材/じんざい]だと[言/い]いはっている。,255,255,84,84,84,84,84,84,84
隼 駿介,はやぶさ しゅんすけ,はやぶさ,Hayabusa Shunsuke,Hayabusa,とつぜん[現/あらわ]れては　[人/ひと]の[食/た]べているものをさらっていく　[困/こま]ったヤツ。,240,240,79,74,79,69,99,79,74
桐技 躍馬,きりあや やくま,きりあや,Kiriaya Yakuma,Kiriaya,なまけもので[働/はたら]くのが[大/だい]きらい。[大人/おとな]になったらどうするんだろう。,210,210,69,69,69,69,69,69,69
間宮 林三,まみや りんぞう,まみや,Mamiya Rinzou,Mamiya,[探検/たんけん]が[大好/だいす]きで　いつか[地図/ちず]にない[島/しま]を[見/み]つけたいと[夢/ゆめ]みている。,210,210,69,69,69,69,69,69,69
出田 優士,いでた ゆうし,いでた,Ideta Yuushi,Ideta,[目/め]が[大/おお]きいおかげで[周/まわ]りの[動/うご]きにすぐ[気/き]づくらしい。,240,240,79,89,99,94,79,79,74
音尾 風雅,ねお ふうが,ねお,Neo Fuuga,Neo,オルゴールの[音色/ねいろ]が[好/す]きで　[自分/じぶん]でもオルゴールを[手作/てづく]りしている。,300,225,99,99,69,79,69,99,79
塗壁 保,ぬりかべ たもつ,ぬりかべ,Nurikabe Tamotsu,Nurikabe,[表情/ひょうじょう]がとぼしくて[何/なに]を[考/かんが]えているのかよくわからないところがある。,285,300,79,74,69,79,69,94,99
笠原 竜也,かさはら たつや,かさはら,Kasahara Tatsuya,Kasahara,ノベルティグッズのコレクター。たくさんのけん[賞/しょう]に[応募/おうぼ]している。,285,300,79,74,69,79,69,94,99
水巻 開平,みずまき かいへい,みずまき,Mizumaki Kaihei,Mizumaki,[自分/じぶん]は[体/からだ]が[弱/よわ]いと[思/おも]いこんでいて[人/ひと]にぶつかるとたおれてしまう。,210,210,69,69,69,69,69,69,69
宮城 錦,みやぎ にしき,みやぎ,Miyagi Nishiki,Miyagi,おいしいご[飯/はん]にこだわっていて[新潟/にいがた]のコシヒカリにはライバル[意識/いしき]が。,285,300,79,74,69,79,69,94,99
歌場 創人,うたば そうと,うたば,Utaba Souto,Utaba,ミュージカルが[大好/だいす]きで　いつかブロードウェイの[舞台/ぶたい]に[立/た]つのが[夢/ゆめ]。,240,240,79,74,79,69,99,79,74
八重樫 智,やえがし さとる,やえがし,Yaegashi Satoru,Yaegashi,インテリアにこっていて　[毎日/まいにち]のように[部屋/へや]のレイアウトをかえている。,300,225,99,99,69,79,69,99,79
花庭 蒔志,はなにわ まきし,はなにわ,Hananiwa Makishi,Hananiwa,ガーデニングが[大好/だいす]きで　[毎日/まいにち][庭/にわ]いじりをやっているぞ。,240,240,79,89,99,94,79,79,74
貼野 哲郎,はるの てつろう,はるの,Haruno Tetsurou,Haruno,めずらしい[切手/きって]をコレクションしていてスタンプ[帳/ちょう]をいつも[持/も]ち[歩/ある]いている。,240,240,79,74,79,69,99,79,74
山形 信洋,やまがた のぶひろ,やまがた,Yamagata Nobuhiro,Yamagata,さくらんぼに[目/め]がなくて　[自宅/じたく]にもわざわざ[木/き]を[植/う]えているらしい。,210,210,69,69,69,69,69,69,69
押井 解,おしい ほぐす,おしい,Oshii Hogusu,Oshii,マッサージの[名人/めいじん]で　どんなつかれた[体/からだ]でも　たちまち[元気/げんき]いっぱい！,240,240,79,89,99,94,79,79,74
菜乃 常則,なの つねのり,ナノ,Nano Tsunenori,Nano,[野菜/やさい]しか[食/た]べないベジタリアン。でも　ひ[弱/よわ]なところはないぞ。,255,255,84,84,84,84,84,84,84
吹越 一徳,ふきこし いっとく,ふきこし,Fukikoshi Ittoku,Fukikoshi,[少年/しょうねん][探偵/たんてい][団/だん]にあこがれていてスパイグッズをいろいろ[集/あつ]めている。,240,240,79,89,99,94,79,79,74
松田 正敏,まつだ まさとし,まつだ,Matsuda Masatoshi,Matsuda,[服/ふく]を[着/き]ているのがうっとうしくて　すぐに[上半身/じょうはんしん]ハダカになってしまう。,285,300,79,74,69,79,69,94,99
大垣 純章,おおがき すみあき,おおがき,Oogaki Sumiaki,Oogaki,[家族/かぞく][全員/ぜんいん]うっかりもので　お[母/かあ]さんは[毎日/まいにち][忘/わす]れものをとどけている。,210,210,69,69,69,69,69,69,69
新井 超,あらい とおる,あらい,Arai Tooru,Arai,[人/ひと]がなくしたものをすぐに[見/み]つけだすふしぎな[力/ちから]をもっている。,240,240,79,89,99,94,79,79,74
町田 禄郎,まちだ ろくろう,まちだ,Machida Rokurou,Machida,バスケの[選手/せんしゅ]で　アメリカに[渡/わた]ってプロになることをめざしている。,300,225,99,99,69,79,69,99,79
北原 幸一,きたはら こういち,きたはら,Kitahara Kouichi,Kitahara,[自分/じぶん]は[何/なに]もしないのに　[相手/あいて]が[不幸/ふこう]にみまわれ　なぜか[勝/か]ってしまう。,210,210,69,69,69,69,69,69,69
入来 徹,いりき とおる,いりき,Iriki Tooru,Iriki,ご[先祖/せんぞ]さまの[地図/ちず]が　[宝/たから]の[地図/ちず]だと[信/しん]じていて　あちこち[掘/ほ]っている。,240,240,79,74,79,69,99,79,74
江田 俊二,えだ しゅんじ,しゅんじ,Eda Shunji,Shunji,イルカの[曲/きょく][芸/げい]に[感動/かんどう]して　[自分/じぶん]もトレーナーになりたいと[思/おも]っている。,255,255,84,84,84,84,84,84,84
西尾 信輔,にしお しんすけ,にしお,Nishio Shinsuke,Nishio,[親/おや]が[決/き]めた[学校/がっこう]をけってこの[学校/がっこう]に[入/はい]ったガンコなやつ。,285,300,79,74,69,79,69,94,99
服部 陸,はっとり りく,トリック,Hattori Riku,Torikku,どんなスポーツの　どんな[相手/あいて]だろうと３[点/てん]は[取/と]らないと[気/き]がすまない[男/おとこ]。,240,240,79,74,79,69,99,79,74
天道 陽光,てんとう ようこう,てんとう,Tentou Youkou,Tentou,カーニバルが[大好/だいす]きで　サンバのリズムに[合/あ]わせておどりだす。,240,240,79,74,79,69,99,79,74
質屋 流,しちや ながる,しちや,Shichiya Nagaru,Shichiya,[友達/ともだち]が[使/つか]わなくなったものをもらっては[愛用/あいよう]している。,240,240,79,89,99,94,79,79,74
銭形 芳生,ぜにがた よしお,ぜにがた,Zenigata Yoshio,Zenigata,[昔/むかし]のお[金/かね]を[集/あつ]めるのが[趣味/しゅみ]であの[埋蔵金/まいぞうきん]もさがしているらしい。,255,255,84,84,84,84,84,84,84
金子 一樹,かねこ かずき,かねこ,Kaneko Kazuki,Kaneko,ヘリコプターのパイロットをめざしいつもラジコンで[練習/れんしゅう]している。,210,210,69,69,69,69,69,69,69
伝法 平介,でんぽう へいすけ,でんぽう,Denpou Heisuke,Denpou,[宣伝/せんでん]がすごくうまくて　[彼/かれ]にまかせればどんな[試合/しあい]でも　[満員/まんいん]になる。,255,255,84,84,84,84,84,84,84
中園 康文,なかぞの やすふみ,なかぞの,Nakazono Yasufumi,Nakazono,[野球/やきゅう]のエースだったが[肩/かた]をこわしてからどのスポーツもやっていない。,240,240,79,74,79,69,99,79,74
阿賀 預利,あが まさとし,あが,Aga Masatoshi,Aga,[生/う]まれてからずっとお[年玉/としだま]を１[円/えん]も[使/つか]わずに[銀行/ぎんこう]に[預/あず]けている。,285,300,79,74,69,79,69,94,99
海原 浴,うみはら あびる,うみはら,Umihara Abiru,Umihara,「[泳/およ]ぐなら[海/うみ]！」といいはり　プールの[授業/じゅぎょう]をいつもボイコットしている。,285,300,79,74,69,79,69,94,99
牛頭 忠太,ごず ちゅうた,ごず,Gozu Chuuta,Gozu,[牛/うし]のツノのように[髪/かみ]をかためているが[本人/ほんにん]はかっこいいと[思/おも]っている。,255,255,84,84,84,84,84,84,84
河伯 童子,かはく どうじ,かはく,Kahaku Douji,Kahaku,[自宅/じたく]に[先祖/せんぞ][伝来/でんらい]のカッパのミイラがあるらしい。,210,210,69,69,69,69,69,69,69
細江 茂志,ほそえ しげし,ほそえ,Hosoe Shigeshi,Hosoe,すごく[着/き]やせするタイプで　[体重/たいじゅう]を[聞/き]くとみんなびっくりする。,300,225,99,99,69,79,69,99,79
北雄 石英,きたお いしひで,せきえい,Kitao Ishihide,Sekiei,[運/うん]が[開/ひら]けるといって　いつもパワーストーンを[持/も]ち[歩/ある]いている。,255,255,84,84,84,84,84,84,84
二宮 金次,にのみや きんじ,にのみや,Ninomiya Kinji,Ninomiya,[勉強/べんきょう][熱心/ねっしん]で　[学校/がっこう]へ[行/い]く[時/とき]もつねに[本/ほん]を[読/よ]んでいる。,285,300,79,74,69,79,69,94,99
鮭川 昇,さけかわ のぼる,シャケ,Sakekawa Noboru,Shake,よく[山中/さんちゅう]の[清流/せいりゅう]に[出/で]かけているが　クマに[出会/であ]わないかが[心配/しんぱい]。,255,255,84,84,84,84,84,84,84
水原 弘也,みずはら ひろなり,みずはら,Mizuhara Hironari,Mizuhara,[水/みず]の[安全性/あんぜんせい]にこだわっていて　ミネラルウォーターしか[絶対/ぜったい]に[口/くち]にしない。,240,240,79,74,79,69,99,79,74
芝 生夫,しば いくお,しばふ,Shiba Ikuo,Shibafu,[芝生/しばふ]に[寝/ね][転/ころ]がるのが[大好/だいす]き。[試合場/しあいじょう]でもまずは[寝/ね]る。,300,225,99,99,69,79,69,99,79
西嶋 路美,にしじま みちはる,にしじま,Nishijima Michiharu,Nishijima,エアロビが[大好/だいす]きで　レオタード[姿/すがた]でいつも[踊/おど]っている。,300,225,99,99,69,79,69,99,79
劉備 玄,りゅうび げん,りゅうび,Ryuubi Gen,Ryuubi,ふだんは[明/あか]るい[人気/にんき][者/もの]だけど[不安/ふあん]になると　[急/きゅう]に[自信/じしん]をなくす。,300,225,99,99,69,79,69,99,79
福島 初志,ふくしま はつし,ふくしま,Fukushima Hatsushi,Fukushima,[正/ただ]しいと[思/おも]えば　[相手/あいて]が[誰/だれ]であっても[自分/じぶん]の[信念/しんねん]をつらぬく。,285,300,79,74,69,79,69,94,99
羅馬 久輝,らま ひさてる,ローマ,Rama Hisateru,Rooma,[美人/びじん]に[目/め]がなくて　[彼氏/かれし][持/も]ちであろうが　[気/き]にせずにアタックする。,285,300,79,74,69,79,69,94,99
灰谷 直,はいたに なお,はいたに,Haitani Nao,Haitani,[補助線/ほじょせん]がなくても　ラインを１センチの[狂/くる]いもなく　[引/ひ]くことができる。,300,225,99,99,69,79,69,99,79
符川 芳正,ふかわ よしまさ,ふかわ,Fukawa Yoshimasa,Fukawa,アマチュア[無線/むせん]が[趣味/しゅみ]。[特技/とくぎ]はモールス[信号/しんごう]。,240,240,79,89,99,94,79,79,74
栃木 光,とちぎ ひかる,とちぎ,Tochigi Hikaru,Tochigi,[神社/じんじゃ]めぐりが[大好/だいす]き。でもおみくじを[引/ひ]くたびに「[凶/きょう]」なのでヘコんでいる。,300,225,99,99,69,79,69,99,79
張飛 益斗,ちょうひ えきと,ちょうひ,Chouhi Ekito,Chouhi,すぐに[怒/おこ]ってしまう[性格/せいかく]なので[他人/たにん]のうらみを[買/か]うことも[多/おお]い。,300,225,99,99,69,79,69,99,79
鎧 護人,よろい もりと,よろい,Yoroi Morito,Yoroi,[肌/はだ]がすごくかたくて　[注射/ちゅうしゃ]しても[針/はり]が[曲/ま]がってしまうらしい。,300,225,99,99,69,79,69,99,79
高知 勇士,こうち ゆうし,こうち,Kouchi Yuushi,Kouchi,いっけん[強面/こわもて]だが　[実/じつ]はとてもおとなしい[性格/せいかく]。,300,225,99,99,69,79,69,99,79
関羽 長人,かんう おさひと,かんう,Kanu Osahito,Kanu,[義理/ぎり]がたいせいか　[多/おお]くの[友人/ゆうじん]から[神/かみ][様/さま]のようにあがめられている。,255,255,84,84,84,84,84,84,84
札幌 澄太,さっぽろ すみた,さっぽろ,Sapporo Sumita,Sapporo,[雪国/ゆきぐに][育/そだ]ちのねばり[強/つよ]さで[相手/あいて]に[立/た]ち[向/む]かっていく。,285,300,79,74,69,79,69,94,99
韓信 潜,かんしん くぐる,かんしん,Kanshin Kuguru,Kanshin,おくびょう[者/もの]と[笑/わら]われてもあやまって[争/あらそ]いをさける[主義/しゅぎ]。,240,240,79,74,79,69,99,79,74
井口 満,いぐち みつる,いぐち,Iguchi Mitsuru,Iguchi,デコトラにあこがれて　とりあえず[自転車/じてんしゃ]をかざり[立/た]てている。,255,255,84,84,84,84,84,84,84
森下 返,もりした かえす,もりした,Morishita Kaesu,Morishita,メンコの[達人/たつじん]。　でも[中学/ちゅうがく]になって[遊/あそ]び[相手/あいて]がほとんどいなくなった。,240,240,79,89,99,94,79,79,74
袋崎 拓路,ふくろさき たくじ,ふくろさき,Fukurosaki Takuji,Fukurosaki,はずかしがり[屋/や]で　すぐにせまい[所/ところ]にかくれて　[人/ひと][目/め]をさけようとする。,240,240,79,74,79,69,99,79,74
倉橋 大,くらはし だい,くらはし,Kurahashi Dai,Kurahashi,おもしろそうな[粗大/そだい]ゴミをなんでも[集/あつ]めてきてしまうクセがある。,300,225,99,99,69,79,69,99,79
今村 修生,いまむら しゅう,いまむら,Imamura Shuu,Imamura,[自転車/じてんしゃ][修理/しゅうり]の[名人/めいじん]。どんな[自転車/じてんしゃ]もすぐに[直/なお]せるらしい。,240,240,79,89,99,94,79,79,74
革嶋 磨,かわしま みがく,かわしま,Kawashima Migaku,Kawashima,ぴかぴかのクツを[見/み]ると[気分/きぶん]がよくて　[無料/むりょう]でみんなのクツをみがいてあげる。,210,210,69,69,69,69,69,69,69
川崎 大志郎,かわさき だいしろう,かわさき,Kawasaki Daishirou,Kawasaki,サッカーを[科学/かがく][的/てき]に[分析/ぶんせき]し[必勝法/ひっしょうほう]を[研究/けんきゅう]している。,210,210,69,69,69,69,69,69,69
登川 光,のぼりかわ ひかる,のぼりかわ,Noborikawa Hikaru,Noborikawa,のぼり[作/づく]りの[名人/めいじん]で[試合/しあい]ごとに　いくつものぼりを[作/つく]って[応援/おうえん]する。,300,225,99,99,69,79,69,99,79
開川 路也,かいかわ みちや,かいかわ,Kaikawa Michiya,Kaikawa,フィールドが[規定/きてい][通/どお]りか　いつも[気/き]にしていて　[試合/しあい][前/まえ]にはかっている。,255,255,84,84,84,84,84,84,84
菊丸 一休,きくまる いっきゅう,いっきゅう,Kikumaru Ikkyuu,Ikkyuu,[頭/あたま]はいいのだけど　[変/へん]なとんちクイズを[出/だ]して　いつもみんなを[困/こま]らせている。,255,255,84,84,84,84,84,84,84
矢形 王星,やがた おうせい,やがた,Yagata Ousei,Yagata,[試合/しあい]のとき[以外/いがい]はいつもサングラスをかけている。[目/め]を[保護/ほご]するためらしい。,240,240,79,89,99,94,79,79,74
鈴虫 月彦,すずむし つきひと,すずむし,Suzumushi Tsukihito,Suzumushi,バイオリンコンクールで[優勝/ゆうしょう]していて[海外/かいがい][留学/りゅうがく]するとのウワサも。,240,240,79,89,99,94,79,79,74
彦 牽牛,ひこ けんぎゅう,ヒコ,Hiko Kengyuu,Hiko,ある[女/おんな]の[子/こ]に[片思/かたおも]い[中/ちゅう]。でも　[年/ねん]に１[回/かい]しか[会/あ]えない。,285,300,79,74,69,79,69,94,99
寿老 仁,じゅろう じん,じゅろう,Jurou Jin,Jurou,[桃/もも]のジュースを[飲/の]むと　なぜか[酔/よ]っぱらってしまうらしい。,240,240,79,89,99,94,79,79,74
南陸 極,なんりく きわむ,なんりく,Nanriku Kiwamu,Nanriku,ふだんはダサいけど　パーティでは[白黒/しろくろ]のタキシードを[着/き]こなしている。,240,240,79,74,79,69,99,79,74
井頭 針次,いがしら しんじ,いがしら,Igashira Shinji,Igashira,[髪/かみ]の[毛/け]が[硬/かた]くって　さわっただけで[刺/さ]さりそうなくらい。,255,255,84,84,84,84,84,84,84
伊勢 隼人,いせ はやと,いせ,Ise Hayato,Ise,[空想/くうそう][好/ず]きで　いつも[頭/あたま]でかつやくする[自分/じぶん]を[想像/そうぞう]している。,255,255,84,84,84,84,84,84,84
長門 司,ながと つかさ,ながと,Nagato Tsukasa,Nagato,[勉強/べんきょう]は[得意/とくい]だけど　スポーツはあまりやったことがない。,210,210,69,69,69,69,69,69,69
派鶴 解斗,ぱずる かいと,パズル,Pazuru Kaito,Pazuru,「レイトン[教授/きょうじゅ]」の[新作/しんさく]を[心/こころ][待/ま]ちにしているパズルマニア。,210,210,69,69,69,69,69,69,69
札野 蝶司,ふだの ちょうじ,いの,Fudano Chouji,Ino,[花札/はなふだ]がとても[強/つよ]い。　でも[友/とも]だちはルールを[知/し]らないので[勝負/しょうぶ]できない。,240,240,79,89,99,94,79,79,74
永長 千里,ながおさ せんり,ながおさ,Nagaosa Senri,Nagaosa,[四六時中/しろくじちゅう]ダジャレのことしか[考/かんが]えていない。でも　[友/とも]だちにはウケない。,210,210,69,69,69,69,69,69,69
前園 航平,まえぞの こうへい,まえぞの,Maezono Kouhei,Maezono,[手先/てさき]がきようで　どんなカギでも３[分/ふん][以内/いない]に[開/あ]けるアブナいやつ。,240,240,79,89,99,94,79,79,74
草薙 剣,くさなぎ けん,くさなぎ,Kusanagi Ken,Kusanagi,[日本/にほん]の[神話/しんわ]が[大好/だいす]きで　[休/やす]みの[日/ひ]にはよく[古墳/こふん]めぐりをしている。,255,255,84,84,84,84,84,84,84
宇枝 歴人,うえだ ひすと,うえだ,Ueda Hisuto,Ueda,ゲームの[話題/わだい]が[中心/ちゅうしん]の[彼/かれ]のブログは１[日/にち]に１[万/まん]ヒットもしているぞ。,255,255,84,84,84,84,84,84,84
加賀 裕太,かが ゆうた,かが,Kaga Yuuta,Kaga,いつも[髪型/かみがた]を[気/き]にしていて　[試合中/しあいちゅう]に[髪/かみ]がみだれるのをおそれている。,240,240,79,74,79,69,99,79,74
野沢 公顕,のざわ きみあき,のざわ,Nozawa Kimiaki,Nozawa,おいしそうなものが[目/め]の[前/まえ]にあるとすぐに[口/くち]に[入/い]れてしまう。,300,225,99,99,69,79,69,99,79
源 義雄,みなもと よしお,みなもと,Minamoto Yoshio,Minamoto,とっぴな[動/うご]きで　[橋/はし]に[飛/と]び[上/あ]がったりすごいガケを　かけおりたりする。,240,240,79,74,79,69,99,79,74
長刀 睦人,なぎなた むつと,なぎなた,Naginata Mutsuto,Naginata,[長/なが]い[足/あし]を[伸/の]ばして　とどきそうにないボールをうばうことができる。,240,240,79,89,99,94,79,79,74
長月 九,ながつき きゅう,ながつき,Nagatsuki Kyuu,Nagatsuki,どんなにすばやい[虫/むし]でも[見/み]つけてつかまえられる[視力/しりょく]をもっているぞ。,240,240,79,74,79,69,99,79,74
日向 光伸,ひゅうが みつのぶ,ひゅうが,Hyuuga Mitsunobu,Hyuuga,[鉄道/てつどう]マニアで　サッカーファン。[電車/でんしゃ]に[乗/の]って[試合/しあい]に[行/い]くのが[好/す]き。,210,210,69,69,69,69,69,69,69
玉井 央一,たまい おういち,たま,Tamai Ouichi,Tama,[走/はし]るのは[苦手/にがて]だけど　[球/たま]をあつかうのは[大得意/だいとくい]。,255,255,84,84,84,84,84,84,84
大文字 文人,だいもんじ あやひと,だいもんじ,Daimonji Ayahito,Daimonji,じつは[大/だい]ブームを[起/お]こしたケータイ[小説/しょうせつ]の[作者/さくしゃ]。,255,255,84,84,84,84,84,84,84
烈風 金道,れっぷう かねみち,れっぷう,Reppuu Kanemichi,Reppuu,[不良/ふりょう]のように[見/み]えるが　[実/じつ]はネコ[好/ず]きで　ネコグッズを[集/あつ]めている。,285,300,79,74,69,79,69,94,99
伊波 登,いなみ のぼる,いなみ,Inami Noboru,Inami,[少年/しょうねん]サーファー。　[学校/がっこう]をさぼって[海/うみ]でサーフィンをしている。,285,300,79,74,69,79,69,94,99
広島 紅,ひろしま くれない,ひろしま,Hiroshima Kurenai,Hiroshima,[秋/あき]になると[毎週/まいしゅう]のようにモミジ[狩/が]りに[出/で]かけるらしい。,255,255,84,84,84,84,84,84,84
占部 智人,うらべ ともひと,うらべ,Urabe Tomohito,Urabe,[占/うらな]いが[得意/とくい]で　[将来/しょうらい]はその[力/ちから]でサッカーをやりたいらしい。,210,210,69,69,69,69,69,69,69
榎本 武,えのもと たけし,えのもと,Enomoto Takeshi,Enomoto,[北海道/ほっかいどう]が[大好/だいす]きで　いつか[自分/じぶん]の[牧場/ぼくじょう]を[持/も]つのが[夢/ゆめ]。,255,255,84,84,84,84,84,84,84
砲羽 陽介,ほうば ようすけ,ほうば,Houba Yousuke,Houba,[戦車/せんしゃ]が[大好/だいす]きで　[軍隊/ぐんたい]のヘルメットをいつもかぶって[通学/つうがく]している。,285,300,79,74,69,79,69,94,99
徳井 種延,とくい たねのぶ,とくい,Tokui Tanenobu,Tokui,いつもカメラを[持/も]ち[歩/ある]いていてどこまでも[特/とく]ダネを[追/お]いかけていくぞ！,255,255,84,84,84,84,84,84,84
高雄 みのる,たかお みのる,たかお,Takao Minoru,Takao,[山/やま][登/のぼ]りをして　[足/あし][腰/こし]が[強/つよ]くなった。エベレストに[登/のぼ]るのが[夢/ゆめ]。,240,240,79,74,79,69,99,79,74
折田 造,おりた つくる,おりた,Orita Tsukuru,Orita,[折/お]り[紙/がみ]が[趣味/しゅみ]。　[最近/さいきん]はまっているのはお[札/さつ]での[折/お]り[紙/がみ]。,240,240,79,74,79,69,99,79,74
淡島 空,あわしま そら,あわしま,Awashima Sora,Awashima,さいほうがうまくて　[人形/にんぎょう][作/づく]りが[趣味/しゅみ]。サッカーのマスコットも[作/つく]っている。,255,255,84,84,84,84,84,84,84
宮崎 太陽,みやざき たいよう,みやざき,Miyazaki Taiyou,Miyazaki,[南国/なんごく]にあこがれていて　サボテンや[熱帯/ねったい][植物/しょくぶつ]を[育/そだ]てている。,240,240,79,74,79,69,99,79,74
大丸 遠,だいまる とうし,だいまる,Daimaru Toushi,Daimaru,[砲丸/ほうがん][投/な]げが[好/す]きで　ウデがふつうの[人/ひと]の[足/あし]と[同/おな]じくらい[太/ふと]い。,300,225,99,99,69,79,69,99,79
芥川 治,あくたがわ おさむ,あくたがわ,Akutagawa Osamu,Akutagawa,[中学生/ちゅうがくせい]で[小説/しょうせつ]の[賞/しょう]をとったのによろこんでくれる[友/とも]だちがいない…。,210,210,69,69,69,69,69,69,69
薬師寺 健,やくしじ けん,やくしじ,Yakushiji Ken,Yakushiji,[健康/けんこう]を[気/き]にして　ごはんより[多/おお]くサプリメントをとっている。,255,255,84,84,84,84,84,84,84
香元 薫,こうもと かおる,こうもと,Koumoto Kaoru,Koumoto,[香水/こうすい]をいつもつけているけど　[量/りょう]が[多/おお]いので[近/ちか]づくと[頭/あたま]がいたくなる。,240,240,79,89,99,94,79,79,74
星見 透馬,ほしみ とうま,ほしみ,Hoshimi Touma,Hoshimi,[星占/ほしうらな]いが[好/す]きで　[朝/あさ]のＴＶで[必/かなら]ずラッキーアイテムを[確認/かくにん]している。,240,240,79,74,79,69,99,79,74
大黒 弘樹,だいこく ひろき,だいこく,Daikoku Hiroki,Daikoku,[農家/のうか]の[子/こ]で　いつも[畑仕事/はたけしごと]を[手伝/てつだ]っている。　でも[野菜/やさい]ぎらい。,255,255,84,84,84,84,84,84,84
十字 導昭,じゅうじ みちあき,じゅうじ,Juuji Michiaki,Juuji,[方向/ほうこう][感覚/かんかく]がするどくて　[迷/まよ]っているときも　[正/ただ]しくみちびいてくれる。,240,240,79,74,79,69,99,79,74
電光 則武,でんこう のりたけ,でんこう,Denkou Noritake,Denkou,ロボットが[好/す]きで　ロボサッカーの[大会/たいかい]では　いつも[上位/じょうい][入賞/にゅうしゅう]している。,240,240,79,89,99,94,79,79,74
大分 温夫,おおいた あつお,おおいた,Ooita Atsuo,Ooita,[温泉/おんせん]が[大好/だいす]きで　ケガもいつも[温泉/おんせん]でなおしている。,285,300,79,74,69,79,69,94,99
由馬 グレイ,ゆうま ぐれい,ぐれい,Yuuma Gurei,Gurei,カエルの[解剖/かいぼう]が[大好/だいす]き。[宇宙/うちゅう]から[転校/てんこう]してきたとウワサも…。,300,225,99,99,69,79,69,99,79
